"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/19/25, 12:27:35 AM"


100
wavelength,transmission
406.398,1.02059e-05,
409.904,1.22959e-05,
414.461,1.44729e-05,
420.070,1.71349e-05,
424.628,1.98195e-05,
430.587,2.42990e-05,
434.794,2.76194e-05,
440.053,3.19466e-05,
444.961,3.63120e-05,
449.518,3.89396e-05,
455.478,4.12740e-05,
459.684,4.47790e-05,
464.943,5.14941e-05,
469.851,5.65213e-05,
474.759,5.95619e-05,
480.368,6.24016e-05,
484.926,6.57585e-05,
490.184,6.88937e-05,
495.092,7.13428e-05,
499.649,7.34501e-05,
504.908,7.51807e-05,
510.167,7.69520e-05,
515.425,7.83079e-05,
519.982,7.92250e-05,
525.241,7.92250e-05,
530.149,8.06209e-05,
535.057,8.34869e-05,
539.614,8.69596e-05,
544.873,9.00509e-05,
550.482,9.27108e-05,
555.390,9.32521e-05,
560.298,9.27108e-05,
564.505,9.11056e-05,
569.763,9.00509e-05,
575.022,9.48951e-05,
579.930,0.000101762,
584.838,0.000112349,
590.096,0.000124037,
595.355,0.000133013,
599.912,0.000136147,
604.820,0.000136942,
609.728,0.000135357,
614.987,0.000127701,
620.245,0.000117705,
624.803,0.000109126,
629.711,0.000101171,
634.969,9.37966e-05,
639.877,9.05767e-05,
645.486,8.69596e-05,
650.394,8.69596e-05,
655.302,8.90084e-05,
659.860,9.11056e-05,
665.118,9.43443e-05,
669.676,9.60066e-05,
675.285,9.54492e-05,
680.193,9.43443e-05,
685.101,9.27108e-05,
689.658,9.21726e-05,
695.267,9.60066e-05,
699.825,0.000103555,
704.733,0.000117022,
709.991,0.000143471,
714.899,0.000186442,
720.158,0.000255317,
724.715,0.000347606,
729.974,0.000498713,
734.882,0.000682947,
740.491,0.000940700,
745.048,0.00116682,
750.307,0.00151630,
754.514,0.00179518,
760.473,0.00215026,
765.381,0.00242990,
770.289,0.00269836,
774.847,0.00299648,
780.105,0.00326993,
785.364,0.00348619,
790.272,0.00365241,
795.180,0.00384889,
800.438,0.00405594,
804.996,0.00420012,
809.553,0.00440037,
815.162,0.00461017,
820.421,0.00477406,
824.628,0.00488654,
829.886,0.00500167,
835.145,0.00520972,
840.053,0.00542642,
845.311,0.00568514,
849.167,0.00581908,
855.127,0.00592161,
860.386,0.00609652,
865.294,0.00635011,
870.202,0.00673079,
874.759,0.00713428,
880.368,0.00730237,
884.925,0.00725998,
889.833,0.00730237,
895.443,0.00806209,
900,0.00830022,
