"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 2:46:33 PM"


43
wavelength,transmission
689.833,0.000994265,
694.770,0.00190178,
700.408,0.00363760,
704.986,0.00576142,
709.915,0.00939824,
715.190,0.0141159,
720.468,0.0224895,
725.392,0.0331866,
730.319,0.0522534,
734.540,0.0726932,
740.520,0.119985,
745.440,0.164960,
750.362,0.233580,
754.929,0.304539,
760.197,0.399399,
764.759,0.471065,
770.022,0.552318,
774.582,0.625082,
780.192,0.707422,
785.449,0.745920,
790.354,0.768184,
794.910,0.805235,
800.165,0.829264,
805.071,0.859066,
810.676,0.869185,
815.579,0.869122,
820.483,0.869059,
825.387,0.879305,
830.292,0.894933,
835.197,0.910839,
840.100,0.910773,
845.003,0.900031,
850.257,0.899961,
855.512,0.910567,
860.065,0.915890,
864.969,0.910440,
869.873,0.915758,
875.477,0.910299,
880.380,0.910233,
885.284,0.910167,
890.188,0.915483,
895.443,0.926272,
900.347,0.931682,
