"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 1:01:50 PM"


121
wavelength,transmission
300,0.0128904,
304.904,0.0145713,
310.158,0.0171583,
315.412,0.0205615,
319.965,0.0239310,
325.219,0.0265820,
330.473,0.0295267,
335.026,0.0313014,
339.930,0.0349725,
344.483,0.0386206,
349.387,0.0436567,
354.641,0.0508109,
360.245,0.0584512,
365.499,0.0634281,
370.753,0.0680299,
375.306,0.0708669,
380.560,0.0742544,
385.814,0.0778039,
390.018,0.0810485,
394.921,0.0839372,
399.825,0.0874376,
405.429,0.0921535,
409.982,0.0959966,
415.236,0.100000,
420.490,0.104170,
425.394,0.108515,
429.597,0.110431,
434.501,0.114367,
440.105,0.117069,
444.659,0.119834,
450.613,0.123383,
455.867,0.125562,
460.420,0.127780,
464.623,0.130037,
469.877,0.131564,
475.832,0.133109,
480.035,0.135460,
485.289,0.137051,
489.842,0.138660,
495.096,0.138660,
500.350,0.140288,
505.254,0.141110,
510.158,0.141936,
515.412,0.141936,
519.965,0.141936,
524.869,0.142766,
530.123,0.142766,
535.026,0.143602,
540.280,0.145288,
545.534,0.146139,
550.438,0.146994,
554.991,0.146139,
559.895,0.146139,
565.149,0.146139,
570.403,0.146139,
574.606,0.146994,
579.860,0.148720,
585.114,0.151347,
589.667,0.153124,
594.571,0.154922,
600.175,0.154922,
605.079,0.154922,
610.333,0.153124,
615.236,0.152233,
620.140,0.149591,
625.044,0.146994,
630.298,0.145288,
635.201,0.142766,
639.755,0.141936,
645.009,0.141110,
650.263,0.141110,
655.166,0.141936,
660.070,0.141936,
664.974,0.142766,
669.877,0.142766,
675.482,0.142766,
680.035,0.141936,
684.939,0.141936,
690.193,0.141936,
695.096,0.143602,
700,0.147855,
705.254,0.152233,
710.158,0.158582,
715.061,0.168113,
719.965,0.180310,
724.869,0.192267,
730.123,0.206216,
735.026,0.219890,
740.280,0.231750,
745.184,0.245679,
749.387,0.254435,
754.991,0.266597,
760.245,0.276099,
765.149,0.282621,
770.403,0.287613,
774.956,0.292694,
780.210,0.297864,
785.114,0.301361,
790.018,0.304900,
795.271,0.306685,
799.825,0.310286,
804.729,0.313929,
810.333,0.315767,
815.236,0.319474,
819.790,0.319474,
825.044,0.323226,
829.947,0.327021,
835.201,0.327021,
840.455,0.328935,
844.659,0.330861,
849.912,0.330861,
855.166,0.334746,
860.420,0.336705,
865.324,0.340659,
870.228,0.340659,
874.781,0.340659,
879.685,0.342653,
884.939,0.346676,
890.193,0.348706,
895.096,0.348706,
900,0.350747,
