"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 7:37:38 PM"


104
wavelength,transmission
385.727,0.000101343,
389.931,0.000108705,
394.835,0.000119357,
400.088,0.000137319,
404.988,0.000166827,
410.239,0.000204261,
414.791,0.000233174,
420.394,0.000270361,
425.298,0.000303866,
430.201,0.000341524,
435.455,0.000386849,
440.359,0.000428076,
445.263,0.000466380,
450.869,0.000508119,
455.774,0.000549294,
460.329,0.000589198,
464.884,0.000627103,
470.140,0.000667454,
475.046,0.000694004,
480.303,0.000727252,
484.858,0.000762083,
490.115,0.000798593,
495.022,0.000823922,
499.929,0.000843465,
505.186,0.000863478,
509.743,0.000877100,
515.351,0.000897916,
520.259,0.000912089,
524.816,0.000919296,
530.424,0.000933818,
534.981,0.000963430,
540.238,0.000986288,
545.145,0.00100968,
550.052,0.00104171,
555.310,0.00104995,
560.218,0.00105005,
565.126,0.00104201,
569.684,0.00105025,
574.942,0.00106683,
579.848,0.00110927,
584.754,0.00117148,
590.010,0.00123720,
595.267,0.00130660,
600.174,0.00132722,
605.082,0.00133772,
610.341,0.00131719,
614.549,0.00127692,
620.160,0.00119998,
625.070,0.00113647,
629.981,0.00107632,
635.241,0.00101936,
640.151,0.000980547,
645.411,0.000950591,
649.617,0.000958096,
655.226,0.000973231,
659.782,0.000996308,
665.391,0.00101205,
670.298,0.00102802,
675.206,0.00103615,
680.465,0.00102025,
685.373,0.00100459,
690.282,0.000996900,
695.189,0.00102055,
700.445,0.00107779,
704.649,0.00115608,
709.902,0.00133006,
715.152,0.00164123,
720.401,0.00210556,
725.299,0.00270123,
730.197,0.00349251,
735.446,0.00448059,
740.345,0.00557200,
745.245,0.00682225,
750.147,0.00803424,
755.048,0.00938820,
760.302,0.0106342,
764.856,0.0116762,
769.761,0.0126223,
775.016,0.0137519,
780.272,0.0145233,
785.178,0.0153379,
790.084,0.0160726,
795.341,0.0167120,
799.897,0.0173766,
805.154,0.0179279,
810.412,0.0184967,
815.318,0.0190833,
820.225,0.0195360,
825.133,0.0199993,
830.390,0.0206338,
834.596,0.0209592,
840.204,0.0214566,
845.111,0.0219656,
849.667,0.0226621,
854.924,0.0241203,
860.180,0.0254733,
865.437,0.0262815,
870.344,0.0269048,
875.251,0.0275430,
879.808,0.0279775,
885.417,0.0279806,
890.325,0.0282019,
895.232,0.0286470,
900.140,0.0288736,
