"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 12:14:10 PM"


121
wavelength,transmission
300,0.0182567,
305.954,0.0201636,
310.508,0.0227965,
315.412,0.0270067,
320.315,0.0314385,
324.869,0.0353365,
330.123,0.0388001,
334.326,0.0408955,
340.280,0.0436108,
344.834,0.0476064,
350.788,0.0570618,
354.641,0.0633914,
359.895,0.0712511,
365.499,0.0773259,
370.753,0.0819796,
374.606,0.0844104,
380.210,0.0884505,
384.063,0.0916071,
389.667,0.0954323,
395.622,0.100000,
400.525,0.103569,
405.429,0.107893,
410.333,0.113058,
415.236,0.117778,
420.841,0.122697,
425.394,0.126335,
430.298,0.130081,
435.902,0.133938,
440.806,0.137909,
445.709,0.141171,
450.613,0.143668,
455.166,0.146209,
460.420,0.148795,
464.974,0.151427,
470.578,0.153207,
475.482,0.155917,
480.736,0.157750,
485.639,0.159605,
489.842,0.160540,
495.447,0.161481,
500.350,0.162428,
504.904,0.163380,
510.158,0.164337,
515.061,0.164337,
520.315,0.164337,
525.219,0.164337,
530.473,0.164337,
535.377,0.166269,
540.280,0.168224,
545.184,0.169210,
549.387,0.170202,
554.641,0.169210,
559.895,0.167244,
565.149,0.166269,
570.053,0.167244,
575.657,0.168224,
580.560,0.170202,
585.464,0.175249,
590.718,0.178348,
595.622,0.179394,
600.525,0.181503,
605.779,0.179394,
610.333,0.177309,
615.937,0.175249,
620.490,0.173212,
625.044,0.169210,
629.247,0.167244,
635.201,0.165300,
640.105,0.163380,
645.359,0.162428,
649.912,0.163380,
655.166,0.163380,
659.720,0.164337,
665.324,0.164337,
669.877,0.165300,
675.482,0.164337,
680.385,0.164337,
684.939,0.163380,
689.842,0.165300,
695.447,0.167244,
700.350,0.169210,
705.254,0.174228,
710.508,0.183637,
714.711,0.192426,
720.315,0.206405,
724.518,0.216284,
729.422,0.231997,
735.026,0.251777,
740.280,0.266929,
745.184,0.278075,
749.737,0.289687,
754.641,0.300025,
760.245,0.310732,
765.149,0.318081,
770.053,0.323707,
774.956,0.329433,
780.210,0.337224,
785.464,0.341189,
790.368,0.345200,
794.921,0.345200,
800.175,0.347224,
805.079,0.351306,
810.333,0.355436,
815.236,0.355436,
820.490,0.357519,
825.044,0.359615,
830.298,0.361723,
835.201,0.365975,
840.455,0.370278,
845.359,0.368120,
850.263,0.370278,
854.816,0.372448,
859.720,0.374631,
864.623,0.376827,
870.228,0.379036,
875.131,0.381257,
880.035,0.383492,
884.939,0.381257,
890.193,0.383492,
894.746,0.385740,
900,0.388001,
