"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 5:15:55 PM"


119
wavelength,transmission
312.248,9.92267e-05,
315.748,0.000101565,
320.297,0.000152072,
325.197,0.000154451,
330.446,0.000184642,
334.996,0.000222454,
340.245,0.000278616,
345.144,0.000413943,
349.694,0.000498713,
355.293,0.000788415,
360.192,0.00101861,
364.742,0.00121772,
370.341,0.00134701,
375.241,0.00158551,
380.140,0.00178130,
385.039,0.00197044,
389.939,0.00214609,
395.188,0.00237396,
400.087,0.00262603,
404.987,0.00295032,
409.536,0.00331465,
415.136,0.00369518,
420.385,0.00415150,
425.284,0.00448660,
430.184,0.00488654,
435.433,0.00532213,
440.332,0.00570724,
444.182,0.00597935,
449.781,0.00641203,
455.031,0.00677009,
460.630,0.00709287,
465.179,0.00737357,
470.429,0.00772513,
475.328,0.00803086,
480.227,0.00822007,
485.477,0.00841375,
490.376,0.00854539,
495.276,0.00881489,
500.175,0.00902258,
505.074,0.00916375,
510.324,0.00930713,
515.223,0.00923516,
520.122,0.00930713,
525.372,0.00930713,
530.271,0.00937966,
534.821,0.00960066,
540.070,0.00998061,
545.319,0.0101368,
550.219,0.0102158,
555.468,0.0101368,
560.018,0.0100584,
564.917,0.00990344,
569.816,0.00998061,
575.066,0.0101368,
579.615,0.0106201,
584.864,0.0113886,
590.114,0.0120245,
595.363,0.0124037,
599.913,0.0126960,
604.812,0.0126960,
610.061,0.0125004,
614.961,0.0121182,
620.210,0.0116569,
625.459,0.0112131,
629.659,0.0107862,
635.258,0.0104565,
640.157,0.0101368,
645.407,0.0100584,
649.956,0.0100584,
654.856,0.0102158,
659.755,0.0103756,
665.354,0.0105379,
670.254,0.0106201,
675.153,0.0106201,
680.402,0.0107028,
684.602,0.0106201,
689.851,0.0105379,
694.751,0.0107862,
700.350,0.0112131,
705.249,0.0119315,
710.149,0.0131984,
715.048,0.0150603,
719.948,0.0173188,
724.847,0.0203851,
730.096,0.0241814,
734.996,0.0282427,
739.895,0.0327311,
745.144,0.0376394,
750.394,0.0419605,
754.943,0.0460570,
759.843,0.0501625,
765.092,0.0537924,
769.991,0.0567962,
774.891,0.0590440,
779.790,0.0613807,
785.389,0.0638099,
790.289,0.0658223,
794.838,0.0673732,
799.738,0.0689606,
804.987,0.0694980,
809.886,0.0711354,
815.136,0.0728115,
820.035,0.0739507,
824.584,0.0751078,
830.184,0.0762829,
835.433,0.0774765,
839.633,0.0780802,
845.232,0.0799199,
850.131,0.0818029,
855.381,0.0824404,
859.580,0.0837303,
865.179,0.0837303,
870.079,0.0857030,
874.628,0.0870440,
879.528,0.0877223,
885.477,0.0890948,
889.676,0.0897891,
895.276,0.0919047,
900.175,0.0919047,
