Name,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
5B4/6,0.178745,0.178802,0.178866,0.178937,0.179031,0.192057,0.204833,0.218286,0.231725,0.243877,0.249609,0.24821,0.239283,0.224377,0.20376,0.177949,0.149619,0.120234,0.093083,0.07434,0.06398,0.05786,0.052017,0.047748,0.047064,0.049879,0.054122,0.057921,0.060903,0.06179,0.059133,0.056417,0.056283,0.058632,0.062006,0.066158
5B5/6,0.25803,0.258079,0.258134,0.258196,0.258278,0.27231,0.289218,0.306161,0.323487,0.343154,0.361538,0.371382,0.368246,0.350666,0.320172,0.280711,0.238678,0.196393,0.15764,0.131575,0.118184,0.11143,0.105163,0.100138,0.101005,0.10889,0.121262,0.134619,0.144545,0.1436,0.131814,0.120245,0.115894,0.119029,0.127256,0.144525
5B6/6,0.374389,0.374422,0.374459,0.374501,0.374574,0.400569,0.432946,0.461152,0.482049,0.497958,0.507464,0.511782,0.508655,0.494051,0.465085,0.422165,0.371097,0.315289,0.260843,0.22209,0.200565,0.188663,0.177296,0.168512,0.16899,0.179156,0.19418,0.207963,0.217457,0.217895,0.207884,0.197167,0.196282,0.203308,0.214796,0.231492
5B7/6,0.56984,0.570055,0.570298,0.570571,0.570887,0.588852,0.608936,0.624073,0.637839,0.651186,0.659546,0.660242,0.65223,0.634396,0.607741,0.57188,0.528807,0.476569,0.41871,0.369485,0.331277,0.304091,0.280917,0.26285,0.252911,0.247474,0.24495,0.246894,0.253137,0.255556,0.251243,0.24333,0.23233,0.223291,0.227917,0.250112
7.5B5/4,0.261784,0.261876,0.26198,0.262097,0.262235,0.272347,0.281291,0.289641,0.296922,0.301383,0.302441,0.300763,0.295468,0.287397,0.274845,0.257209,0.236216,0.212185,0.187201,0.169182,0.158874,0.152215,0.143971,0.136691,0.135623,0.140887,0.149415,0.158116,0.166126,0.167674,0.160939,0.152913,0.148741,0.149692,0.155841,0.172085
7.5B6/4,0.400169,0.400346,0.400546,0.400771,0.401027,0.410578,0.420516,0.426882,0.428536,0.425265,0.420981,0.416922,0.412783,0.407012,0.397587,0.381616,0.358683,0.328331,0.292359,0.26341,0.245639,0.236064,0.226997,0.220085,0.220996,0.23089,0.245082,0.256564,0.261856,0.256971,0.242915,0.229333,0.225293,0.229032,0.236621,0.246813
7.5B7/4,0.518759,0.518908,0.519076,0.519265,0.519485,0.534988,0.546915,0.558654,0.571024,0.57923,0.582938,0.582082,0.57567,0.56471,0.549078,0.526794,0.498858,0.463611,0.42245,0.389295,0.367166,0.352971,0.338885,0.327905,0.326381,0.333958,0.346241,0.357724,0.366898,0.368351,0.361228,0.352629,0.350633,0.353927,0.362951,0.379432
7.5B8/4,0.704227,0.704429,0.704657,0.704914,0.70521,0.723661,0.738402,0.756363,0.778921,0.79822,0.808638,0.806992,0.792298,0.770147,0.741298,0.705929,0.667284,0.622554,0.571451,0.530456,0.502657,0.483397,0.462854,0.445685,0.439752,0.445489,0.457057,0.466592,0.474052,0.476135,0.469816,0.46184,0.462779,0.469476,0.477307,0.489983
10YR5/10,0.012332,0.012043,0.011717,0.011352,0.010949,0.016199,0.017594,0.018379,0.018991,0.019719,0.020958,0.023837,0.032334,0.060861,0.106745,0.140234,0.156951,0.174581,0.208961,0.259478,0.302108,0.325517,0.333406,0.334332,0.332448,0.329418,0.326735,0.323567,0.320636,0.317198,0.314651,0.312537,0.310873,0.309138,0.305939,0.302531
10YR6/10,0.034696,0.034299,0.03385,0.033346,0.032786,0.036301,0.038371,0.040094,0.041566,0.042744,0.044244,0.047367,0.059028,0.09866,0.166275,0.220733,0.25004,0.276238,0.318942,0.378976,0.429468,0.458221,0.469551,0.47277,0.472918,0.471793,0.471481,0.469715,0.468048,0.465578,0.463179,0.461716,0.462856,0.461125,0.458641,0.455757
10YR7/10,0.066231,0.065675,0.065047,0.064344,0.063561,0.06886,0.072356,0.075154,0.077795,0.079896,0.081973,0.08584,0.101576,0.155603,0.25041,0.333024,0.381987,0.421049,0.476274,0.549704,0.608034,0.640799,0.654189,0.659383,0.662338,0.664762,0.668311,0.670207,0.670854,0.669071,0.668089,0.668937,0.671756,0.673282,0.672417,0.670845
10YR8/10,0.12431,0.123607,0.122814,0.121924,0.120932,0.12709,0.130249,0.133506,0.136786,0.139491,0.142047,0.146205,0.164531,0.233954,0.361093,0.477832,0.548543,0.597321,0.658102,0.739037,0.805007,0.843502,0.86041,0.867769,0.871954,0.87487,0.879254,0.881513,0.882222,0.879091,0.878238,0.879804,0.884059,0.885425,0.882944,0.880923
5GY5/10,0.012664,0.012341,0.011977,0.011568,0.011115,0.015092,0.016432,0.017577,0.018949,0.021024,0.023912,0.027906,0.039837,0.084208,0.178723,0.282086,0.339094,0.342394,0.314772,0.278631,0.23888,0.197525,0.156496,0.124397,0.105102,0.094838,0.088166,0.082435,0.079019,0.079228,0.082376,0.087889,0.09505,0.100989,0.100258,0.098844
