"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 10:17:42 AM"


121
wavelength,transmission
299.688,0.0735785,
305.302,0.0812574,
310.565,0.0892152,
314.778,0.0991054,
319.691,0.109449,
324.953,0.117392,
329.163,0.123724,
334.073,0.130396,
339.336,0.139858,
345.299,0.150885,
350.212,0.163737,
354.422,0.175621,
359.685,0.189469,
364.244,0.197368,
370.557,0.206795,
374.765,0.211673,
380.376,0.219209,
385.636,0.225692,
389.143,0.229672,
394.052,0.235087,
400.364,0.243455,
404.572,0.249197,
409.131,0.255074,
414.040,0.261089,
420.001,0.268807,
424.910,0.273542,
430.169,0.278358,
435.078,0.283262,
439.637,0.288252,
444.195,0.291622,
449.454,0.295028,
455.064,0.300221,
460.323,0.301958,
465.932,0.305483,
470.841,0.309052,
475.398,0.309032,
480.307,0.310821,
484.514,0.312623,
489.773,0.316274,
495.382,0.316248,
499.589,0.318082,
505.199,0.319921,
510.457,0.321771,
515.716,0.321746,
520.274,0.323611,
525.532,0.323586,
530.440,0.323563,
535.699,0.325434,
539.555,0.325416,
544.814,0.325391,
550.073,0.327273,
555.332,0.329166,
559.889,0.327226,
565.148,0.329118,
570.406,0.329093,
575.314,0.329070,
580.222,0.330975,
585.131,0.334842,
589.689,0.336782,
595.298,0.338728,
600.206,0.340689,
605.815,0.340661,
610.723,0.336678,
615.980,0.330802,
619.836,0.328856,
625.095,0.328830,
630.353,0.324984,
635.611,0.324959,
639.818,0.321163,
645.076,0.321139,
650.686,0.322995,
655.944,0.322970,
660.151,0.322950,
664.358,0.324823,
669.616,0.322905,
675.225,0.322879,
680.484,0.320973,
685.041,0.322832,
690.651,0.324698,
695.559,0.328492,
700.468,0.330394,
704.675,0.336217,
710.637,0.350226,
715.898,0.362696,
720.106,0.375617,
724.665,0.386728,
730.276,0.400497,
734.835,0.414762,
740.096,0.429530,
745.005,0.442235,
750.966,0.452655,
755.525,0.460630,
760.433,0.466013,
765.342,0.474221,
770.601,0.479759,
775.860,0.479723,
780.418,0.488175,
785.326,0.488140,
790.936,0.493838,
795.844,0.496697,
800.752,0.496662,
805.660,0.499537,
810.919,0.502426,
815.126,0.505340,
820.385,0.505301,
825.994,0.508221,
830.902,0.511163,
835.810,0.511127,
840.018,0.514091,
844.926,0.514054,
850.886,0.517022,
855.093,0.520020,
860.001,0.526097,
865.260,0.522991,
870.167,0.522953,
874.725,0.525983,
880.335,0.529023,
885.944,0.528980,
890.852,0.532042,
895.760,0.532004,
900.668,0.528866,
