"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 9:47:14 PM"


122
wavelength,transmission
300,0.0936174,
305.254,0.100389,
310.158,0.114766,
315.412,0.135077,
319.615,0.154423,
324.518,0.175515,
329.422,0.186032,
334.676,0.193767,
339.930,0.203001,
344.834,0.213917,
349.387,0.230728,
354.291,0.245981,
359.895,0.262242,
364.799,0.271561,
369.002,0.279579,
375.306,0.287833,
380.210,0.292902,
385.814,0.298061,
390.718,0.305081,
395.271,0.310454,
400.525,0.317765,
405.079,0.325249,
409.632,0.332909,
415.587,0.340749,
419.790,0.346750,
424.694,0.350810,
430.648,0.359072,
435.552,0.361167,
440.455,0.367528,
445.709,0.371831,
450.263,0.374001,
455.517,0.378379,
460.070,0.380588,
464.623,0.382809,
469.877,0.387291,
475.482,0.387291,
479.685,0.387291,
484.588,0.391825,
490.543,0.391825,
494.746,0.394112,
500,0.394112,
505.254,0.394112,
510.508,0.394112,
515.762,0.394112,
519.965,0.394112,
525.569,0.391825,
530.473,0.394112,
535.377,0.394112,
540.280,0.394112,
545.534,0.396412,
550.788,0.398725,
555.692,0.396412,
559.545,0.394112,
565.149,0.394112,
570.053,0.394112,
574.606,0.394112,
580.210,0.398725,
585.464,0.405748,
589.667,0.408116,
594.921,0.408116,
599.825,0.410498,
604.729,0.408116,
610.333,0.405748,
615.937,0.401053,
620.140,0.398725,
625.394,0.394112,
630.298,0.391825,
635.201,0.387291,
640.455,0.387291,
645.359,0.387291,
650.613,0.387291,
655.517,0.387291,
659.720,0.389551,
664.623,0.389551,
669.527,0.389551,
674.431,0.387291,
680.035,0.389551,
685.289,0.389551,
690.893,0.387291,
695.447,0.391825,
700.350,0.394112,
705.954,0.405748,
710.508,0.417727,
714.711,0.430061,
719.965,0.442758,
724.869,0.455831,
729.422,0.472028,
735.026,0.491654,
740.280,0.503233,
745.184,0.518091,
749.387,0.524156,
754.291,0.536501,
759.895,0.545950,
765.149,0.549136,
770.403,0.555565,
775.657,0.562069,
780.210,0.565349,
785.114,0.571968,
790.718,0.571968,
795.271,0.575306,
799.825,0.575306,
805.079,0.582041,
810.333,0.585438,
815.587,0.585438,
820.140,0.585438,
825.044,0.585438,
829.597,0.592292,
834.501,0.588855,
840.105,0.592292,
844.659,0.595749,
849.562,0.595749,
854.816,0.595749,
860.070,0.599226,
864.623,0.602723,
869.877,0.599226,
875.131,0.599226,
875.131,0.599226,
880.035,0.599226,
884.588,0.602723,
889.142,0.606241,
894.746,0.606241,
900,0.609779,
