"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 1:21:00 PM"


121
wavelength,transmission
299.914,0.00685623,
304.829,0.00788942,
309.395,0.00923913,
314.664,0.0113382,
319.580,0.0132778,
324.846,0.0152786,
330.111,0.0171742,
335.023,0.0186391,
339.585,0.0204671,
344.501,0.0236896,
350.119,0.0282332,
355.387,0.0336485,
359.950,0.0369486,
364.862,0.0405721,
370.827,0.0445502,
375.036,0.0466825,
379.947,0.0489162,
385.208,0.0518600,
390.820,0.0546599,
395.380,0.0569415,
399.939,0.0589722,
405.551,0.0625208,
410.462,0.0658969,
414.671,0.0686480,
419.932,0.0715127,
425.192,0.0744970,
430.453,0.0771531,
435.362,0.0794381,
439.921,0.0817911,
445.181,0.0842130,
450.091,0.0867071,
455.701,0.0882354,
459.909,0.0903194,
465.168,0.0919119,
470.778,0.0935319,
475.336,0.0946267,
479.894,0.0957342,
484.802,0.0957274,
490.412,0.0974147,
495.321,0.0979793,
499.878,0.0985478,
504.787,0.0991190,
510.396,0.0996925,
515.304,0.100270,
520.212,0.0996782,
525.120,0.0996710,
530.028,0.0996639,
535.637,0.100241,
540.195,0.101414,
545.104,0.102002,
550.012,0.102593,
555.972,0.102584,
559.828,0.101980,
565.436,0.100785,
569.994,0.101370,
575.253,0.101957,
579.811,0.103755,
584.720,0.106205,
590.331,0.109349,
595.239,0.110628,
599.796,0.109976,
605.405,0.109325,
610.313,0.108045,
615.220,0.106781,
620.127,0.104915,
625.034,0.102480,
629.941,0.100690,
634.848,0.0989306,
640.106,0.0977720,
644.663,0.0971951,
649.571,0.0977585,
654.829,0.0971806,
659.738,0.0977439,
664.295,0.0983110,
670.255,0.0983024,
675.514,0.0982949,
680.421,0.0977144,
685.329,0.0977074,
690.237,0.0982737,
695.497,0.100006,
700.056,0.102969,
704.966,0.106640,
710.228,0.113722,
715.139,0.121273,
720.401,0.130085,
724.963,0.141181,
730.225,0.152328,
735.488,0.165320,
740.049,0.175271,
745.310,0.184734,
750.221,0.193574,
754.780,0.201654,
760.041,0.211302,
765.301,0.216290,
769.859,0.220105,
774.768,0.225302,
779.677,0.229275,
785.287,0.233317,
790.196,0.236046,
795.455,0.237413,
800.363,0.240191,
805.272,0.244427,
810.180,0.245844,
814.738,0.247270,
820.348,0.248701,
825.256,0.251610,
830.164,0.251592,
835.073,0.254536,
839.981,0.257514,
844.539,0.257496,
850.148,0.260506,
855.407,0.262015,
859.965,0.263535,
865.224,0.266617,
870.132,0.266598,
874.690,0.269718,
880.300,0.271279,
884.857,0.271261,
890.116,0.272832,
895.024,0.276024,
900.283,0.276002,
