"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 4:19:02 PM"


121
wavelength,transmission
299.973,0.462957,
304.881,0.479427,
310.490,0.505246,
315.398,0.532459,
319.956,0.561140,
324.864,0.577722,
330.122,0.594793,
335.029,0.608808,
339.586,0.623155,
344.494,0.641571,
350.102,0.652863,
355.009,0.668246,
359.916,0.680013,
365.174,0.687959,
370.081,0.700073,
375.338,0.704133,
380.245,0.712363,
385.502,0.716495,
390.760,0.724867,
395.316,0.733343,
400.223,0.737598,
404.779,0.737566,
410.036,0.741844,
415.644,0.750510,
420.200,0.750476,
424.757,0.754834,
430.715,0.759207,
434.920,0.759176,
440.178,0.768047,
445.435,0.772501,
450.692,0.767968,
455.949,0.776942,
459.804,0.776913,
465.061,0.776873,
469.968,0.781382,
475.225,0.781342,
480.482,0.781302,
485.389,0.781265,
490.295,0.781227,
495.202,0.785761,
499.758,0.785726,
505.365,0.781113,
509.922,0.790246,
514.828,0.790208,
520.436,0.790165,
525.342,0.790127,
530.599,0.790087,
535.155,0.790052,
540.412,0.794634,
545.319,0.794596,
550.226,0.794558,
555.483,0.794518,
560.039,0.799131,
565.296,0.794442,
570.553,0.794401,
575.459,0.799011,
580.016,0.798976,
585.623,0.798932,
590.529,0.794247,
595.436,0.794209,
599.992,0.798821,
605.600,0.798777,
609.455,0.798747,
614.712,0.798706,
619.618,0.794022,
625.226,0.793979,
630.483,0.793938,
635.389,0.793900,
639.945,0.793865,
645.202,0.793825,
650.459,0.793784,
655.716,0.793744,
660.272,0.793708,
665.880,0.793665,
670.436,0.793630,
675.342,0.793592,
680.249,0.793554,
685.506,0.793514,
690.763,0.793473,
695.319,0.793438,
699.525,0.798048,
705.132,0.802674,
710.740,0.807326,
715.297,0.816766,
720.554,0.816724,
725.811,0.821461,
730.367,0.821425,
735.624,0.826189,
740.181,0.835849,
745.788,0.835803,
750.344,0.835766,
755.251,0.835726,
760.157,0.840576,
765.414,0.835643,
770.321,0.835604,
774.877,0.845374,
780.485,0.845327,
785.742,0.845284,
790.298,0.845247,
794.854,0.845209,
800.462,0.850109,
805.368,0.850068,
810.625,0.850025,
815.181,0.849987,
820.438,0.849943,
825.695,0.849900,
830.251,0.849862,
834.807,0.844881,
840.064,0.844838,
844.971,0.844798,
850.228,0.849697,
855.485,0.849654,
860.392,0.854585,
864.948,0.849576,
870.205,0.859503,
875.111,0.854462,
880.368,0.854419,
885.625,0.849405,
890.532,0.854334,
895.088,0.849327,
900.345,0.849283,
