404,1.96E-01,2.61E-01,3.41E-01,4.44E-01,2.49E-01,3.44E-01,4.22E-01,4.79E-01,4.04E-02,7.65E-02,1.30E-01,1.97E-01,2.86E-02,6.69E-02,8.39E-02,1.33E-01
405,1.98E-01,2.65E-01,3.48E-01,4.56E-01,2.52E-01,3.48E-01,4.33E-01,4.98E-01,4.05E-02,7.70E-02,1.32E-01,1.99E-01,2.83E-02,6.70E-02,8.49E-02,1.34E-01
406,2.00E-01,2.68E-01,3.55E-01,4.68E-01,2.56E-01,3.56E-01,4.46E-01,5.16E-01,4.04E-02,7.71E-02,1.31E-01,2.01E-01,2.82E-02,6.73E-02,8.55E-02,1.35E-01
407,2.01E-01,2.72E-01,3.60E-01,4.79E-01,2.58E-01,3.59E-01,4.54E-01,5.34E-01,4.03E-02,7.69E-02,1.32E-01,2.02E-01,2.82E-02,6.71E-02,8.60E-02,1.36E-01
408,2.02E-01,2.75E-01,3.66E-01,4.89E-01,2.60E-01,3.63E-01,4.65E-01,5.50E-01,4.04E-02,7.67E-02,1.31E-01,2.02E-01,2.82E-02,6.74E-02,8.57E-02,1.36E-01
409,2.03E-01,2.77E-01,3.69E-01,4.94E-01,2.61E-01,3.67E-01,4.71E-01,5.62E-01,4.03E-02,7.65E-02,1.32E-01,2.03E-01,2.84E-02,6.77E-02,8.61E-02,1.36E-01
410,2.04E-01,2.79E-01,3.73E-01,5.02E-01,2.63E-01,3.69E-01,4.76E-01,5.74E-01,4.03E-02,7.72E-02,1.32E-01,2.03E-01,2.80E-02,6.73E-02,8.63E-02,1.37E-01
411,2.04E-01,2.81E-01,3.76E-01,5.08E-01,2.63E-01,3.72E-01,4.81E-01,5.86E-01,4.03E-02,7.63E-02,1.31E-01,2.02E-01,2.81E-02,6.72E-02,8.63E-02,1.37E-01
412,2.06E-01,2.82E-01,3.79E-01,5.14E-01,2.65E-01,3.73E-01,4.88E-01,5.95E-01,4.00E-02,7.60E-02,1.32E-01,2.03E-01,2.84E-02,6.78E-02,8.66E-02,1.37E-01
413,2.06E-01,2.83E-01,3.80E-01,5.16E-01,2.64E-01,3.75E-01,4.90E-01,6.01E-01,4.01E-02,7.64E-02,1.32E-01,2.02E-01,2.84E-02,6.75E-02,8.62E-02,1.37E-01
414,2.07E-01,2.83E-01,3.82E-01,5.20E-01,2.65E-01,3.75E-01,4.92E-01,6.09E-01,3.96E-02,7.62E-02,1.32E-01,2.02E-01,2.81E-02,6.70E-02,8.63E-02,1.37E-01
415,2.07E-01,2.85E-01,3.83E-01,5.22E-01,2.65E-01,3.77E-01,4.95E-01,6.13E-01,4.01E-02,7.63E-02,1.31E-01,2.02E-01,2.83E-02,6.71E-02,8.67E-02,1.38E-01
416,2.07E-01,2.85E-01,3.85E-01,5.25E-01,2.66E-01,3.77E-01,4.96E-01,6.17E-01,3.99E-02,7.57E-02,1.30E-01,2.01E-01,2.84E-02,6.73E-02,8.67E-02,1.38E-01
417,2.07E-01,2.83E-01,3.84E-01,5.25E-01,2.67E-01,3.76E-01,4.96E-01,6.20E-01,4.00E-02,7.59E-02,1.31E-01,2.01E-01,2.86E-02,6.72E-02,8.67E-02,1.38E-01
418,2.06E-01,2.84E-01,3.84E-01,5.26E-01,2.65E-01,3.77E-01,4.97E-01,6.22E-01,3.98E-02,7.53E-02,1.30E-01,2.00E-01,2.82E-02,6.70E-02,8.72E-02,1.38E-01
419,2.06E-01,2.84E-01,3.86E-01,5.27E-01,2.66E-01,3.77E-01,4.97E-01,6.25E-01,3.99E-02,7.52E-02,1.30E-01,2.00E-01,2.82E-02,6.70E-02,8.73E-02,1.38E-01
420,2.07E-01,2.85E-01,3.86E-01,5.30E-01,2.66E-01,3.77E-01,4.97E-01,6.28E-01,4.01E-02,7.57E-02,1.30E-01,2.01E-01,2.84E-02,6.65E-02,8.71E-02,1.38E-01
421,2.08E-01,2.86E-01,3.87E-01,5.30E-01,2.66E-01,3.78E-01,4.98E-01,6.29E-01,4.01E-02,7.54E-02,1.30E-01,2.00E-01,2.84E-02,6.70E-02,8.74E-02,1.39E-01
422,2.08E-01,2.87E-01,3.86E-01,5.32E-01,2.66E-01,3.78E-01,4.98E-01,6.29E-01,4.01E-02,7.55E-02,1.30E-01,1.99E-01,2.84E-02,6.74E-02,8.74E-02,1.39E-01
423,2.09E-01,2.88E-01,3.89E-01,5.33E-01,2.66E-01,3.76E-01,4.97E-01,6.31E-01,3.99E-02,7.53E-02,1.30E-01,2.00E-01,2.85E-02,6.69E-02,8.77E-02,1.39E-01
