"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 8:50:32 PM"


121
wavelength,transmission
299.719,0.140340,
304.620,0.148742,
309.870,0.170015,
314.768,0.197747,
320.017,0.228670,
325.267,0.255371,
329.468,0.267531,
335.071,0.278650,
339.974,0.288548,
344.526,0.300538,
349.778,0.318532,
355.029,0.341549,
359.931,0.355742,
364.834,0.368379,
370.437,0.374876,
375.691,0.381486,
380.243,0.388211,
385.147,0.395055,
390.750,0.399694,
394.953,0.406738,
400.206,0.411512,
404.759,0.418766,
409.662,0.423680,
414.565,0.433662,
420.169,0.436212,
425.072,0.443903,
429.625,0.449111,
434.528,0.457029,
440.132,0.459716,
445.036,0.459738,
449.939,0.465133,
455.193,0.467867,
460.447,0.470617,
464.650,0.473379,
470.604,0.476164,
475.508,0.478962,
480.411,0.481775,
485.665,0.484607,
490.919,0.484632,
494.772,0.484650,
499.675,0.484673,
505.279,0.484699,
510.183,0.484722,
515.087,0.484745,
520.341,0.484770,
525.244,0.484793,
529.798,0.484814,
534.701,0.484837,
539.605,0.487685,
545.209,0.490553,
550.463,0.490578,
555.717,0.484936,
559.920,0.484956,
564.824,0.484979,
570.078,0.482194,
574.631,0.485025,
579.535,0.490717,
584.438,0.493599,
590.042,0.499395,
594.945,0.505256,
599.849,0.499443,
605.103,0.499468,
610.358,0.493723,
614.911,0.493745,
619.465,0.488063,
625.069,0.485262,
630.323,0.482475,
635.578,0.476926,
639.781,0.476945,
645.735,0.479752,
650.639,0.476995,
655.192,0.477016,
659.395,0.479815,
664.299,0.477058,
670.254,0.477086,
675.508,0.477110,
680.061,0.477131,
684.615,0.477152,
690.219,0.477178,
695.122,0.479981,
700.025,0.488443,
704.928,0.497055,
710.181,0.508767,
715.084,0.517737,
719.987,0.533022,
724.540,0.545578,
730.143,0.564962,
735.396,0.578274,
740.299,0.591898,
745.202,0.598844,
750.455,0.612955,
755.008,0.620146,
759.561,0.623787,
764.115,0.627449,
769.368,0.631137,
774.972,0.638548,
780.226,0.642301,
784.779,0.642329,
790.383,0.642364,
795.987,0.649907,
800.190,0.649933,
805.794,0.653756,
809.997,0.653782,
815.251,0.653816,
820.155,0.653847,
825.409,0.657690,
830.663,0.661556,
834.866,0.661582,
839.769,0.665469,
844.673,0.665500,
850.277,0.665537,
855.881,0.669451,
860.084,0.665600,
865.338,0.665634,
870.242,0.669544,
875.846,0.669580,
880.399,0.669610,
885.303,0.673543,
890.557,0.673577,
895.461,0.673609,
900.014,0.673639,
