"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/12/25, 3:34:28 PM"


32
wavelength,transmission
462.347,0.00100884,
465.499,0.00236877,
469.702,0.00634670,
480.210,0.0331909,
485.464,0.0614519,
489.667,0.110812,
495.447,0.199819,
499.650,0.294300,
505.429,0.407560,
510.158,0.485987,
515.412,0.540112,
520.140,0.549702,
524.869,0.544886,
530.123,0.521432,
535.026,0.494615,
540.280,0.455616,
544.834,0.409958,
550.438,0.360320,
555.692,0.309347,
560.245,0.256400,
565.149,0.207586,
570.403,0.155724,
575.306,0.112120,
580.210,0.0774769,
585.814,0.0436004,
590.018,0.0280807,
594.571,0.0167573,
600.525,0.00843557,
605.429,0.00469178,
609.982,0.00278347,
614.536,0.00145993,
617.338,0.00101477,
